question, answer
when and where was napoleon born?,napoleon was born in ajaccio,corsica,on 15 august 1769
what was napoleon's early education like?,napoleon began his education at autun and later attended school in brienne,excelling in mathematics and science
what was napoleon's role during the french revolution?,napoleon was promoted to brigadier general for his part in the siege of toulon
what did napoleon accomplish during his campaign in italy?,napoleon enjoyed a succession of victories,which resulted in austria signing the peace of campo formio
what was the outcome of napoleon's expedition to egypt?,the naval defeat at aboukir bay isolated the expedition from france,and napoleon returned to france
how did napoleon become the ruler of france?,following the coup d'etat de brumaire,napoleon became the defacto ruler of france
what were some of napoleon's achievements as first consul?,he signed a concordat with the pope in 1801 which restored religion to france,and he created the civil code
what was the significance of napoleon's coronation as emperor?,napoleon crowned himself,taking the crown from the pope in a symbolic manner to show that power stemmed from the state and not the church
what was napoleon's plan for invading britain?,napoleon planned to invade britain by crossing the english channel
what were the results of napoleon's victories at ulm and austerlitz?,napoleon defeated the austrians at ulm and austerlitz,resulting in a decisive victory known as the 'battle of three emperors'
when and where was napoleon born?,15 august 1769,in ajaccio,corsica
where did napoleon begin his education?,autun
which school did napoleon attend after autun?,brienne
what did napoleon excel in at school?,mathematics and science
when was napoleon commissioned into the artillery?,1785
what happened in 1789?,the outbreak of the french revolution
what did napoleon do after the coup de thermidor in 1794?,he ended up preserving the new government from the parisian mob with artillery fire
who did napoleon marry before his departure to italy?,josephine de beauharnais
when and where did napoleon enjoy a succession of victories?,1796 and 1797 in italy
what did napoleon do after returning to france?,he was given charge of an expedition to egypt
what happened at the battle of the pyramids?,the french gained control of cairo
what happened at aboukir bay?,the french naval fleet was defeated,isolating the expedition from france
what happened in 1799?,public sentiment swung against the government,and napoleon became the defacto ruler of france
when did napoleon defeat the austrians at the battle of marengo?,14 june 1800
what did napoleon do after becoming consul for life?,he remodelled the country's economy and administration
what was napoleon's greatest achievement as consul for life?,the civil code
when did napoleon become emperor?,1804
what did napoleon do at his coronation?,he crowned himself
what was napoleon's plan for invading britain?,he marched his highly trained grand armée into central europe to meet the converging forces of austria and russia
what happened at the 'battle of three emperors'?,napoleon defeated the austrians and the russians
what countries formed a new coalition against napoleon?,britain,russia and prussia
when did napoleon defeat the prussians?,1806
when did napoleon defeat the russians?,1807
who was napoleon bonaparte?,napoleon bonaparte was born in ajaccio,corsica,on 15 august 1769.
where was napoleon born?,napoleon was born in ajaccio,corsica.
when was napoleon born?,napoleon was born on 15 august 1769.
where did napoleon attend school?,napoleon attended school in autun and brienne.
what was napoleon's first military assignment?,napoleon was commissioned in the artillery in 1785.
what event created an atmosphere of opportunity for napoleon?,the french revolution in 1789.
what decisive part did napoleon play in the siege of toulon?,napoleon played a decisive part in the siege of toulon by ousting the british from mainland france.
what was the name of the government that napoleon preserved from the parisian mob?,the new government.
what was the event known as the 'whiff of grapeshot'?,the event known as the 'whiff of grapeshot' was when napoleon preserved the new government from the parisian mob with artillery fire.
who did napoleon marry?,napoleon married josephine de beauharnais on 9 march 1796.
what promise did napoleon give his impoverished army in italy?,napoleon promised his impoverished army in italy 'honor,glory,and riches'.
what was the result of napoleon's campaigns in italy?,napoleon's campaigns in italy resulted in a series of victories and the signing of the peace of campo formio.
what was napoleon's greatest achievement?,napoleon's greatest achievement was the civil code which is still used in part today.
when did napoleon become emperor?,napoleon became emperor in 1804.
what was napoleon's plan to invade britain?,napoleon planned to invade britain by crossing the english channel.
what was the result of the battle of three emperors?,the battle of three emperors resulted in a decisive victory for napoleon.
who formed a new coalition against napoleon?,britain,russia,and prussia formed a new coalition against napoleon.
what was the result of the battle of jena?,the battle of jena resulted in a victory for napoleon over the prussians.
what was the result of the battle of friedland?,the battle of friedland resulted in a victory for napoleon over the russians.
who was napoleon bonaparte?,napoleon was born in ajaccio,corsica,on 15 august 1769.
where did napoleon bonaparte study?,he began his education at autun and later attended school in brienne.
what subjects did napoleon excel?,napoleon excelled in mathematics and science.
when was napoleon bonaparte commissioned in the artillery?,he was commissioned in the artillery in 1785.
what event created an atmosphere of opportunity for napoleon?,the french revolution in 1789.
what was napoleon's first major achievement?,he was promoted to brigadier general for his role in the siege of toulon in 1793.
why was napoleon imprisoned?,he fell out of favor after the coup de thermidor in 1794.
what event restored napoleon's reputation?,preserving the new government from the parisian mob with artillery fire,known as the 'whiff of grapeshot'.
when did napoleon marry josephine de beauharnais?,he married her on 9 march 1796.
what battles did napoleon win in italy?,he won a series of victories in italy in 1796 and 1797.
what was the result of napoleon's expedition to egypt?,he gained control of cairo but was isolated from france after the naval defeat at aboukir bay.
when did napoleon become the de facto ruler of france?,he became the de facto ruler after the coup d'etat de brumaire in 1799.
what was napoleon's greatest achievement as a statesman?,his greatest achievement was the civil code,which is still partly used today.
when was napoleon proclaimed emperor?,he was proclaimed emperor in 1804.
what was the result of the battle of austerlitz?,napoleon defeated the austrians and russians,leading to the peace of pressburg.
what was the result of the battle of jena?,napoleon defeated the prussians.
what was the result of the battle of friedland?,napoleon defeated the russians.
where was napoleon born?,ajaccio,corsica
when was napoleon born?,15 august 1769
who were napoleon's parents?,carlo and letizia bonaparte
where did napoleon begin his education?,autun
what school did napoleon later attend?,brienne
in what subjects did napoleon excel?,mathematics and science
when was napoleon commissioned in the artillery?,1785
what event created an atmosphere of opportunity for napoleon?,the french revolution
what was napoleon's first opportunity?,the siege of toulon
what was the coup de thermidor?,a political coup that overthrew the committee of public safety
what event is known as the 'whiff of grapeshot'?,napoleon's use of artillery fire to suppress a parisian mob
who did napoleon marry?,josephine de beauharnais
when did napoleon marry josephine?,9 march 1796
where did napoleon campaign in 1796 and 1797?,italy
what promise did napoleon make to his army in italy?,honor,glory,and riches
what treaty did napoleon sign with austria after his victories in italy?,the peace of campo formio
what expedition was napoleon given charge of after his return to france?,an expedition to egypt
what was the outcome of the battle of the pyramids?,french control of cairo
what was the outcome of the naval battle at aboukir bay?,french defeat
what did napoleon do after his unsuccessful campaign in syria?,he abandoned his army and sailed to france
what was the public sentiment towards the government in 1799?,negative
what was the outcome of the coup d'etat de brumaire?,napoleon became the defacto ruler of france
what battle did napoleon win after crossing the alps?,the battle of marengo
what was the result of napoleon's victory at the battle of marengo?,a general peace
what title did napoleon receive after a decade of war?,consul for life
what did napoleon remodel after becoming consul for life?,the country's economy and administration
what concordat did napoleon sign with the pope in 1801?,a concordat that restored religion to france
what was napoleon's greatest achievement?,the civil code
when was napoleon proclaimed emperor?,1804
what did napoleon do at his coronation?,he crowned himself,taking the crown from the pope
what plans did napoleon make to invade britain?,he planned to cross the english channel
what happened to napoleon's plans to invade britain?,they were abandoned
where did napoleon march his army to meet the converging forces of austria and russia?,central europe
what was the outcome of the battle of austerlitz?,a decisive victory for napoleon
what happened after the battle of austerlitz?,austria sued for peace
what new coalition was formed against napoleon?,britain,russia,and prussia
what battle did napoleon win against the prussians?,the battle of jena
what battle did napoleon win against the russians?,the battle of friedland
when and where was napoleon born?,napoleon was born on august 15,1769,in ajaccio,corsica.
what was napoleon's place in the family?,he was the second of eight children born to carlo and letizia bonaparte.
what were napoleon's educational experiences like?,he began his education at autun in 1778,attended school in brienne,and studied at the école militaire in paris.
when and how did napoleon rise to prominence?,he gained attention in 1793 for his role in the siege of toulon,leading to his promotion to brigadier general.
what was the 'whiff of grapeshot'?,in 1794,napoleon preserved the government from the parisian mob with artillery fire,earning him recognition.
who did napoleon marry,and when?,he married joséphine de beauharnais on march 9,1796.
how did napoleon's campaigns in italy impact his reputation?,his victories in italy in 1796 and 1797 brought him fame,inspiring soldiers and establishing his leadership.
what was the purpose of napoleon's expedition to egypt?,the expedition aimed to threaten english possessions in india by gaining control of egypt.
why did napoleon abandon his army in egypt?,he left egypt after suffering a naval defeat at aboukir bay,isolating the expedition from france.
how did napoleon seize power in france?,in 1799,he became the de facto ruler of france through a coup d'état,known as the coup d'etat de brumaire.
which battle solidified napoleon's reputation of invincibility?,the battle of marengo on june 14,1800,against the austrians,solidified his reputation.
what was napoleon's political achievement as consul for life?,he implemented reforms,signed a concordat with the pope,and introduced the civil code,which is still partially in use today.
how did napoleon assume the title of emperor?,he proclaimed himself emperor in 1804 and crowned himself at the coronation,symbolizing the shift of power from the church to the state.
what was napoleon's plan to invade britain,and why was it abandoned?,he planned to invade britain by crossing the english channel but abandoned it to confront converging forces of austria and russia in central europe.
which battle was known as the 'battle of three emperors'?,the battle of austerlitz on december 2,1805,against austria,russia,and the holy roman empire,resulted in a decisive victory for napoleon.
when and against whom did napoleon defeat the prussians and russians?,he defeated the prussians at jena in 1806 and the russians at friedland in 1807.
when was napoleon born?,15 august 1769
where was napoleon born?,ajaccio,corsica
what was napoleon's rank in the military in 1785?,commissioned in the artillery
when did the french revolution begin?,1789
what was napoleon's role in the siege of toulon?,brigadier general,played a decisive part,ousted the british from mainland france
what happened to napoleon after the coup de thermidor in 1794?,fell out of favor and was imprisoned
what event led to napoleon being appointed to command of the army of italy?,preserving the new government from the parisian mob with artillery fire,known as the 'whiff of grapeshot'
who did napoleon marry before departing for italy?,josephine de beauharnais
when did napoleon campaign in italy?,1796 and 1797
what was the result of napoleon's campaigning in italy?,inspired the army with promises of 'honor,glory,and riches',enjoyed a succession of victories,austria signed the peace of campo formio
what was napoleon's role in the expedition to egypt?,given charge of an expedition to egypt
what was the victory that gave french control of cairo?,victory at the battle of the pyramids
what was the naval defeat that isolated the expedition from france?,defeat at aboukir bay
what did napoleon do after the unsuccessful campaigning in syria?,departed by ship with a small group of friends and sailed to france,abandoning his army
when did public sentiment swing against the government?,1799
